,manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
0,Acura,Integra,16.919,16.36,0.0,21.5,1.8,140.0,101.2,67.3,172.4,2.639,13.2,28.0,2.828,0.0
1,Acura,TL,39.384,19.875,0.0,28.4,3.2,225.0,108.1,70.3,192.9,3.517,17.2,25.0,3.673,0.0
2,Acura,RL,8.588,29.725,0.0,42.0,3.5,210.0,114.6,71.4,196.6,3.85,18.0,22.0,2.15,0.0
3,Audi,A4,20.397,22.255,0.0,23.99,1.8,150.0,102.6,68.2,178.0,2.998,16.4,27.0,3.015,0.0
4,Audi,A6,18.78,23.555,0.0,33.95,2.8,200.0,108.7,76.1,192.0,3.561,18.5,22.0,2.933,0.0
5,Audi,A8,1.38,39.0,0.0,62.0,4.2,310.0,113.0,74.0,198.2,3.902,23.7,21.0,0.322,0.0
6,BMW,328i,9.231,28.675,0.0,33.4,2.8,193.0,107.3,68.5,176.0,3.197,16.6,24.0,2.223,0.0
7,BMW,528i,17.527,36.125,0.0,38.9,2.8,193.0,111.4,70.9,188.0,3.472,18.5,24.8,2.864,0.0
8,Buick,Century,91.561,12.475,0.0,21.975,3.1,175.0,109.0,72.7,194.6,3.368,17.5,25.0,4.517,0.0
9,Buick,Regal,39.35,13.74,0.0,25.3,3.8,240.0,109.0,72.7,196.2,3.543,17.5,23.0,3.672,0.0
10,Buick,Park Avenue,27.851,20.19,0.0,31.965,3.8,205.0,113.8,74.7,206.8,3.778,18.5,24.0,3.327,0.0
11,Buick,LeSabre,83.257,13.36,0.0,27.885,3.8,205.0,112.2,73.5,200.0,3.591,17.5,25.0,4.422,0.0
12,Cadillac,DeVille,63.729,22.525,0.0,39.895,4.6,275.0,115.3,74.5,207.2,3.978,18.5,22.0,4.155,0.0
13,Cadillac,Eldorado,6.536,25.725,0.0,39.665,4.6,275.0,108.0,75.5,200.6,3.843,19.0,22.0,1.877,0.0
